band,channel,statistic,p_value,p_value_corrected,significant
alpha,3RC,86.0,0.06910169124603271,0.25201793277964873,False
alpha,4RC,101.0,0.1688096523284912,0.3693952392129337,False
alpha,5RC,118.0,0.37475037574768066,0.4978826420647757,False
alpha,1RD,133.0,0.6431422233581543,0.7036732561448041,False
alpha,2RD,93.0,0.10738253593444824,0.32742871612798974,False
alpha,3RD,123.0,0.45587432384490967,0.5768205730282531,False
alpha,4RD,145.0,0.899570107460022,0.9193408790525499,False
beta,1Z,61.0,0.009575724601745605,0.13960392134530203,False
beta,2Z,115.0,0.3305051326751709,0.48404688722505346,False
beta,3Z,77.0,0.036649227142333984,0.19476446424211774,False
beta,4Z,138.0,0.746925950050354,0.7849052356461347,False
beta,6Z,133.0,0.6431422233581543,0.7036732561448041,False
beta,7Z,136.0,0.704756498336792,0.7447994811968369,False
beta,8Z,126.0,0.5087660551071167,0.6225689884863401,False
beta,9Z,122.0,0.4389305114746094,0.5591854461251873,False
beta,1L,95.0,0.12084019184112549,0.340651679683376,False
beta,2L,96.0,0.128027081489563,0.340651679683376,False
beta,3L,112.0,0.28966712951660156,0.43450069427490234,False
beta,4L,107.0,0.22918963432312012,0.4021629432462296,False
beta,5L,103.0,0.18750131130218506,0.3832444384857848,False
beta,6L,118.0,0.37475037574768066,0.4978826420647757,False
beta,7L,135.0,0.6839864253997803,0.7311579030135583,False
beta,8L,142.0,0.8333734273910522,0.8611525416374206,False
beta,9L,110.0,0.26434290409088135,0.4275459144426429,False
beta,10L,149.0,0.9888126850128174,0.9888126850128174,False
beta,1R,66.0,0.015044927597045898,0.16437295350161465,False
beta,2R,80.0,0.045679688453674316,0.22963302844279523,False
beta,3R,118.0,0.37475037574768066,0.4978826420647757,False
beta,4R,92.0,0.10109639167785645,0.32420566986347066,False
beta,5R,96.0,0.128027081489563,0.340651679683376,False
beta,6R,118.0,0.37475037574768066,0.4978826420647757,False
beta,7R,126.0,0.5087660551071167,0.6225689884863401,False
beta,8R,82.0,0.05264079570770264,0.2331235238483974,False
beta,9R,148.0,0.9664472341537476,0.9822906314349565,False
beta,10R,119.0,0.3902466297149658,0.507593518370515,False
beta,1LA,93.0,0.10738253593444824,0.32742871612798974,False
beta,2LA,107.0,0.22918963432312012,0.4021629432462296,False
beta,3LA,97.0,0.1355280876159668,0.340651679683376,False
beta,1LB,104.0,0.19737839698791504,0.3905572536143851,False
beta,2LB,90.0,0.08937323093414307,0.30224401734092016,False
beta,3LB,97.0,0.1355280876159668,0.340651679683376,False
beta,4LB,53.0,0.00433504581451416,0.09942094484965007,False
beta,5LB,97.0,0.1355280876159668,0.340651679683376,False
beta,1LC,106.0,0.21821892261505127,0.39792862359215236,False
beta,2LC,93.0,0.10738253593444824,0.32742871612798974,False
beta,3LC,96.0,0.128027081489563,0.340651679683376,False
beta,4LC,72.0,0.024863600730895996,0.16516534771238053,False
beta,5LC,131.0,0.6033114194869995,0.68424343917428,False
beta,1LD,127.0,0.5270590782165527,0.6244139397979541,False
beta,2LD,98.0,0.14335036277770996,0.34183548046992374,False
beta,3LD,98.0,0.14335036277770996,0.34183548046992374,False
beta,4LD,132.0,0.6230943202972412,0.7023972337896174,False
beta,1RA,52.0,0.0039006471633911133,0.09942094484965007,False
beta,2RA,91.0,0.09509599208831787,0.31585454515048433,False
beta,3RA,118.0,0.37475037574768066,0.4978826420647757,False
beta,1RB,67.0,0.016406655311584473,0.16437295350161465,False
beta,2RB,131.0,0.6033114194869995,0.68424343917428,False
beta,3RB,53.0,0.00433504581451416,0.09942094484965007,False
beta,4RB,126.0,0.5087660551071167,0.6225689884863401,False
beta,5RB,110.0,0.26434290409088135,0.4275459144426429,False
beta,1RC,125.0,0.49079859256744385,0.612674753137883,False
beta,2RC,82.0,0.05264079570770264,0.2331235238483974,False
beta,3RC,133.0,0.6431422233581543,0.7036732561448041,False
beta,4RC,106.0,0.21821892261505127,0.39792862359215236,False
beta,5RC,135.0,0.6839864253997803,0.7311579030135583,False
beta,1RD,142.0,0.8333734273910522,0.8611525416374206,False
beta,2RD,104.0,0.19737839698791504,0.3905572536143851,False
beta,3RD,144.0,0.8774070739746094,0.9016448384490461,False
beta,4RD,149.0,0.9888126850128174,0.9888126850128174,False
