band,channel,statistic,p_value,p_value_corrected,significant
alpha,1LD,105.0,0.20761656761169434,0.9931446715613096,False
alpha,2LD,148.0,0.9664472341537476,0.9931446715613096,False
alpha,3LD,109.0,0.2522493600845337,0.9931446715613096,False
alpha,4LD,112.0,0.28966712951660156,0.9931446715613096,False
alpha,1RA,142.0,0.8333734273910522,0.9931446715613096,False
alpha,2RA,141.0,0.8115357160568237,0.9931446715613096,False
alpha,3RA,135.0,0.6839864253997803,0.9931446715613096,False
alpha,1RB,136.0,0.704756498336792,0.9931446715613096,False
alpha,2RB,147.0,0.944107174873352,0.9931446715613096,False
alpha,3RB,138.0,0.746925950050354,0.9931446715613096,False
alpha,4RB,144.0,0.8774070739746094,0.9931446715613096,False
alpha,5RB,137.0,0.7257407903671265,0.9931446715613096,False
alpha,1RC,142.0,0.8333734273910522,0.9931446715613096,False
alpha,2RC,141.0,0.8115357160568237,0.9931446715613096,False
alpha,3RC,127.0,0.5270590782165527,0.9931446715613096,False
alpha,4RC,129.0,0.5645889043807983,0.9931446715613096,False
alpha,5RC,139.0,0.7682963609695435,0.9931446715613096,False
alpha,1RD,123.0,0.45587432384490967,0.9931446715613096,False
alpha,2RD,114.0,0.3165123462677002,0.9931446715613096,False
alpha,3RD,129.0,0.5645889043807983,0.9931446715613096,False
alpha,4RD,129.0,0.5645889043807983,0.9931446715613096,False
beta,1Z,146.0,0.9218088388442993,0.9931446715613096,False
beta,2Z,133.0,0.6431422233581543,0.9931446715613096,False
beta,3Z,128.0,0.5456695556640625,0.9931446715613096,False
beta,4Z,113.0,0.30289924144744873,0.9931446715613096,False
beta,6Z,94.0,0.11396121978759766,0.9931446715613096,False
beta,7Z,133.0,0.6431422233581543,0.9931446715613096,False
beta,8Z,146.0,0.9218088388442993,0.9931446715613096,False
beta,9Z,134.0,0.6634435653686523,0.9931446715613096,False
beta,1L,126.0,0.5087660551071167,0.9931446715613096,False
beta,2L,147.0,0.944107174873352,0.9931446715613096,False
