participant,band,channel,statistic,p_value,p_value_corrected,significant
10,theta,2RC,12430.0,0.139096485510791,0.17966629378477172,False
10,theta,3RC,13916.0,0.9491178964373076,0.9491178964373076,False
10,theta,4RC,9317.0,8.823624167997286e-06,5.4706469841583175e-05,True
10,theta,5RC,11047.0,0.005167371768983103,0.012322194218344323,True
10,theta,1RD,11484.0,0.017303840667194034,0.030652517753315144,True
10,theta,2RD,10425.0,0.0007018944189422295,0.0021758726987209116,True
10,theta,3RD,11084.0,0.005759474985570161,0.013225461077975925,True
10,theta,4RD,11833.0,0.040581542946737895,0.05990608720708928,False
10,alpha,1Z,10141.0,0.0002528700404151488,0.001306495208811602,True
10,alpha,2Z,9930.0,0.00011324615851367378,0.0007021261827847774,True
10,alpha,3Z,8704.0,4.955839152330781e-07,1.0242067581483615e-05,True
10,alpha,4Z,8924.0,1.44660086793365e-06,1.4948208968647717e-05,True
10,alpha,6Z,8843.0,9.799461463612312e-07,1.4597800488441706e-05,True
10,alpha,7Z,11004.0,0.0045487418358269955,0.011280879752850949,True
10,alpha,8Z,12969.0,0.3341491323959186,0.48179642345458024,False
10,alpha,9Z,12291.0,0.10705872665578761,0.20114063795935855,False
10,alpha,1L,12218.0,0.09274647117336801,0.17969628789840053,False
10,alpha,2L,13779.0,0.8459401999886581,0.8598080721196197,False
10,alpha,3L,11290.0,0.01031865887921962,0.023694698167096906,True
10,alpha,4L,10742.0,0.0020224911409275513,0.0059711643208337235,True
10,alpha,5L,11976.0,0.055930216342917546,0.11558911377536292,False
10,alpha,6L,10779.0,0.002275731262664057,0.006413424467507797,True
10,alpha,7L,12918.0,0.310408364638041,0.4693980148185011,False
10,alpha,8L,12542.0,0.16991127626276226,0.27819181589867603,False
10,alpha,9L,12839.0,0.27588517509866417,0.4276220214029295,False
10,alpha,10L,12963.0,0.3312968559595395,0.48179642345458024,False
10,alpha,1R,10503.0,0.0009179190174774039,0.0029953146886104757,True
10,alpha,2R,10503.0,0.0009179190174774039,0.0029953146886104757,True
10,alpha,3R,10257.0,0.00038691641950456147,0.0017384456076372226,True
10,alpha,4R,10337.0,0.0005153388604386994,0.00199693808419996,True
10,alpha,5R,9794.0,6.611850466353651e-05,0.00045548303212658483,True
10,alpha,6R,11661.0,0.026994135773239582,0.05771160061865015,False
10,alpha,7R,9168.0,4.5165607797869785e-06,4.000382404954181e-05,True
10,alpha,8R,10903.0,0.0033509437824293304,0.00865660477127577,True
10,alpha,9R,13629.0,0.735989212167492,0.773412392447195,False
10,alpha,10R,13171.0,0.4392891273248726,0.5374693155115821,False
10,alpha,1LA,12544.0,0.17050466135725306,0.27819181589867603,False
10,alpha,2LA,13176.0,0.4421118563079143,0.5374693155115821,False
10,alpha,3LA,12311.0,0.11127099690512991,0.20290593553288397,False
10,alpha,1LB,13158.0,0.431998660937977,0.5374693155115821,False
10,alpha,2LB,10487.0,0.0008691280968794454,0.0029953146886104757,True
10,alpha,3LB,11368.0,0.012750170201151977,0.028232519731122237,True
10,alpha,4LB,12141.0,0.07935792195523528,0.15871584391047056,False
10,alpha,5LB,13661.0,0.7590787334438999,0.7843813578920298,False
10,alpha,1LC,9990.0,0.0001428640940184875,0.0008052339844678386,True
10,alpha,2LC,11070.0,0.005528594837744455,0.013183572305390624,True
10,alpha,3LC,13332.0,0.5352256654296339,0.6145183566043945,False
10,alpha,4LC,13136.0,0.41982197168361224,0.5374693155115821,False
10,alpha,5LC,13511.0,0.6530283239166164,0.711058833450327,False
10,alpha,1LD,8881.0,1.177241974874331e-06,1.4597800488441706e-05,True
10,alpha,2LD,10651.0,0.0015056981528171099,0.004667664273733041,True
10,alpha,3LD,12661.0,0.2079773496535544,0.33063065842359934,False
