band,channel,statistic,p_value,p_value_corrected,significant
alpha,10R,136.0,0.704756498336792,0.9876878327065771,False
alpha,1LA,135.0,0.6839864253997803,0.9876878327065771,False
alpha,2LA,141.0,0.8115357160568237,0.9876878327065771,False
alpha,3LA,92.0,0.10109639167785645,0.9876878327065771,False
alpha,1LB,148.0,0.9664472341537476,0.9876878327065771,False
alpha,2LB,146.0,0.9218088388442993,0.9876878327065771,False
alpha,3LB,115.0,0.3305051326751709,0.9876878327065771,False
alpha,4LB,147.0,0.944107174873352,0.9876878327065771,False
alpha,5LB,132.0,0.6230943202972412,0.9876878327065771,False
alpha,1LC,117.0,0.35962629318237305,0.9876878327065771,False
alpha,2LC,146.0,0.9218088388442993,0.9876878327065771,False
alpha,3LC,107.0,0.22918963432312012,0.9876878327065771,False
alpha,4LC,110.0,0.26434290409088135,0.9876878327065771,False
alpha,5LC,109.0,0.2522493600845337,0.9876878327065771,False
alpha,1LD,114.0,0.3165123462677002,0.9876878327065771,False
alpha,2LD,145.0,0.899570107460022,0.9876878327065771,False
alpha,3LD,103.0,0.18750131130218506,0.9876878327065771,False
alpha,4LD,118.0,0.37475037574768066,0.9876878327065771,False
alpha,1RA,147.0,0.944107174873352,0.9876878327065771,False
alpha,2RA,147.0,0.944107174873352,0.9876878327065771,False
alpha,3RA,125.0,0.49079859256744385,0.9876878327065771,False
alpha,1RB,134.0,0.6634435653686523,0.9876878327065771,False
alpha,2RB,144.0,0.8774070739746094,0.9876878327065771,False
alpha,3RB,141.0,0.8115357160568237,0.9876878327065771,False
alpha,4RB,150.0,1.0,1.0,False
alpha,5RB,137.0,0.7257407903671265,0.9876878327065771,False
alpha,1RC,148.0,0.9664472341537476,0.9876878327065771,False
alpha,2RC,146.0,0.9218088388442993,0.9876878327065771,False
alpha,3RC,124.0,0.47316575050354004,0.9876878327065771,False
alpha,4RC,130.0,0.5838061571121216,0.9876878327065771,False
alpha,5RC,139.0,0.7682963609695435,0.9876878327065771,False
alpha,1RD,134.0,0.6634435653686523,0.9876878327065771,False
alpha,2RD,121.0,0.4223414659500122,0.9876878327065771,False
alpha,3RD,128.0,0.5456695556640625,0.9876878327065771,False
alpha,4RD,135.0,0.6839864253997803,0.9876878327065771,False
beta,1Z,135.0,0.6839864253997803,0.9876878327065771,False
beta,2Z,129.0,0.5645889043807983,0.9876878327065771,False
beta,3Z,137.0,0.7257407903671265,0.9876878327065771,False
beta,4Z,108.0,0.2405325174331665,0.9876878327065771,False
beta,6Z,108.0,0.2405325174331665,0.9876878327065771,False
beta,7Z,135.0,0.6839864253997803,0.9876878327065771,False
beta,8Z,139.0,0.7682963609695435,0.9876878327065771,False
beta,9Z,130.0,0.5838061571121216,0.9876878327065771,False
beta,1L,129.0,0.5645889043807983,0.9876878327065771,False
beta,2L,148.0,0.9664472341537476,0.9876878327065771,False
beta,3L,137.0,0.7257407903671265,0.9876878327065771,False
beta,4L,116.0,0.344876766204834,0.9876878327065771,False
beta,5L,107.0,0.22918963432312012,0.9876878327065771,False
beta,6L,86.0,0.06910169124603271,0.9876878327065771,False
beta,7L,93.0,0.10738253593444824,0.9876878327065771,False
beta,8L,140.0,0.7898378372192383,0.9876878327065771,False
beta,9L,145.0,0.899570107460022,0.9876878327065771,False
beta,10L,141.0,0.8115357160568237,0.9876878327065771,False
beta,1R,136.0,0.704756498336792,0.9876878327065771,False
beta,2R,137.0,0.7257407903671265,0.9876878327065771,False
beta,3R,140.0,0.7898378372192383,0.9876878327065771,False
beta,4R,137.0,0.7257407903671265,0.9876878327065771,False
beta,5R,98.0,0.14335036277770996,0.9876878327065771,False
beta,6R,130.0,0.5838061571121216,0.9876878327065771,False
beta,7R,136.0,0.704756498336792,0.9876878327065771,False
beta,8R,149.0,0.9888126850128174,0.999560648980348,False
beta,9R,150.0,1.0,1.0,False
beta,10R,134.0,0.6634435653686523,0.9876878327065771,False
beta,1LA,125.0,0.49079859256744385,0.9876878327065771,False
beta,2LA,127.0,0.5270590782165527,0.9876878327065771,False
beta,3LA,107.0,0.22918963432312012,0.9876878327065771,False
